country_code,country,indicator_code,indicator,year,value,unit,source,source_url,retrieved_on
ARG,Argentina,NY.GDP.MKTP.KD.ZG,GDP growth,2018,-2.6174,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
ARG,Argentina,NY.GDP.MKTP.KD.ZG,GDP growth,2019,-2.0009,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
ARG,Argentina,NY.GDP.MKTP.KD.ZG,GDP growth,2020,-9.9005,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
ARG,Argentina,NY.GDP.MKTP.KD.ZG,GDP growth,2021,10.4418,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
ARG,Argentina,NY.GDP.MKTP.KD.ZG,GDP growth,2022,6.0207,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
ARG,Argentina,NY.GDP.MKTP.KD.ZG,GDP growth,2023,-1.8558,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
ARG,Argentina,NY.GDP.MKTP.KD.ZG,GDP growth,2024,-1.3429,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
URY,Uruguay,NY.GDP.MKTP.KD.ZG,GDP growth,2015,0.3707,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
URY,Uruguay,NY.GDP.MKTP.KD.ZG,GDP growth,2016,1.6898,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
URY,Uruguay,NY.GDP.MKTP.KD.ZG,GDP growth,2017,1.7404,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
URY,Uruguay,NY.GDP.MKTP.KD.ZG,GDP growth,2018,0.1648,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
URY,Uruguay,NY.GDP.MKTP.KD.ZG,GDP growth,2019,0.9284,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
URY,Uruguay,NY.GDP.MKTP.KD.ZG,GDP growth,2020,-7.3573,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
URY,Uruguay,NY.GDP.MKTP.KD.ZG,GDP growth,2021,5.8443,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
URY,Uruguay,NY.GDP.MKTP.KD.ZG,GDP growth,2022,4.6062,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
URY,Uruguay,NY.GDP.MKTP.KD.ZG,GDP growth,2023,0.7617,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
URY,Uruguay,NY.GDP.MKTP.KD.ZG,GDP growth,2024,3.3258,annual %,"World Bank, World Development Indicators",https://api.worldbank.org/v2/country/ARG;URY/indicator/NY.GDP.MKTP.KD.ZG?format=json&source=2&date=2015%3A2024&per_page=1000,2026-08-17
